field,type
CDMC014,numeric
CDMC015,numeric
CDMC012,numeric
CDMC013,numeric
CDMC010,numeric
CDMC011,numeric
CDMC203,numeric
CDCA008,numeric
CDTT014,numeric
CDMC204,numeric
CDTT015,numeric
CDMC201,numeric
CDTT012,numeric
CDMC202,numeric
CDTT013,numeric
CDTT018,numeric
CDMC200,numeric
CDTT019,numeric
CDTT016,numeric
CDTT017,numeric
CDTP103,numeric
CDTP102,numeric
CDTP101,numeric
CDTP100,numeric
CDTT011,numeric
CDTT010,numeric
CDTP109,numeric
CDMC009,numeric
CDTP106,numeric
CDMC008,numeric
CDMC007,numeric
CDMC277,numeric
CDMC276,numeric
CDMC275,numeric
CDMC274,numeric
CDMC279,numeric
CDMC278,numeric
CDMC273,numeric
CDMC272,numeric
CDMC271,numeric
CDMC270,numeric
CDMC264,numeric
CDMC263,numeric
CDMC266,numeric
CDMC265,numeric
CDMC268,numeric
CDMC267,numeric
CDMC269,numeric
CDMC260,numeric
CDMC262,numeric
CDMC261,numeric
CDMC249,numeric
CDMC259,numeric
CDMC258,numeric
CDMC257,numeric
CDMC256,numeric
CDMC255,numeric
CDMC254,numeric
CDMC253,numeric
CDMC252,numeric
CDMC251,numeric
CDMC250,numeric
CDMC238,numeric
CSSS003,numeric
CDMC239,numeric
CSSS002,numeric
CSSS001,numeric
CDMC246,numeric
CDMC245,numeric
CDMC248,numeric
CDMC247,numeric
CDMC242,numeric
CSWC001,numeric
CDTC005,numeric
CDTC004,numeric
CDTC007,numeric
CSWC002,numeric
CDTC006,numeric
CDTC001,numeric
CDTC003,numeric
CDTC002,numeric
CDTC009,numeric
CDTC008,numeric
CDTC010,numeric
CDTC014,numeric
CDTC013,numeric
CDTC012,numeric
CDTP177,numeric
CDTC011,numeric
CDTP176,numeric
CDTC018,numeric
CDTP175,numeric
CDTC017,numeric
CDTP174,numeric
CDTC016,numeric
CDTP173,numeric
CDTC015,numeric
CDTC019,numeric
CDMC294,numeric
CDMC293,numeric
CDMC290,numeric
CDMC291,numeric
CDTP171,numeric
CDTP172,numeric
CDTP170,numeric
CDMC298,numeric
CDTC020,numeric
CDTC021,numeric
CDMC297,numeric
CDTT093,numeric
CDTC023,numeric
CDTT092,numeric
CDTC022,numeric
CDTT095,numeric
CDTC025,numeric
CDTT094,numeric
CDTC024,numeric
CDTT097,numeric
CDTT096,numeric
CDTC026,numeric
CDTT099,numeric
CDTC029,numeric
CDTT098,numeric
CDTT091,numeric
CDMC281,numeric
CDMC282,numeric
CDMC283,numeric
CDMC284,numeric
CDMC280,numeric
CDMC285,numeric
CDMC286,numeric
CDMC287,numeric
CDMC288,numeric
CDTC032,numeric
CDTB179,numeric
CDTB177,numeric
CDTB178,numeric
CDTB175,numeric
CDTB176,numeric
CDCT024,numeric
CDTB185,numeric
CDTB184,numeric
CDTB183,numeric
CDTB182,numeric
CDTB181,numeric
CDTB180,numeric
CDTB168,numeric
CDTB169,numeric
CDTB164,numeric
CDTB165,numeric
CDTB166,numeric
CDTB167,numeric
CDCT015,numeric
CDCT016,numeric
CDCT023,numeric
CDCT022,numeric
CDCT021,numeric
CDCT020,numeric
CDTB172,numeric
