field,type
gid,character
rid,character
uuid,character
month,character
cnt_installment,numeric
cnt_wdnwt,numeric
amt_wdnwt,numeric
cnt_wdwt,numeric
amt_wdwt,numeric
cnt_trade,numeric
cnt_cash,numeric
amt_cash,numeric
cnt_consum,numeric
cnt_consumc,numeric
amt_consumc,numeric
cnt_bankc,numeric
amt_bankc,numeric
cnt_wked,numeric
amt_wked,numeric
amt_out,numeric
amt_in,numeric
