"","prov_nm","cty_nm","acd"
"219","安徽","芜湖","0553"
"220","山西","忻州","0350"
"221","海南","万宁","0898"
"222","内蒙古","巴彦淖尔","0478"
"223","陕西","咸阳","0910"
"224","甘肃","白银","0943"
"225","内蒙古","通辽","0475"
"226","云南","红河","0873"
"227","台湾","宜兰","00886"
"228","海南","文昌","0898"
"229","江西","吉安","0796"
"230","陕西","汉中","0916"
"231","陕西","商洛","0914"
"232","山西","太原","0351"
"233","山西","晋城","0356"
"234","山西","晋中","0354"
"235","吉林","龙潭","0432"
"236","台湾","南投","00886"
"237","云南","西双版纳","0691"
"238","吉林","白城","0436"
"239","台湾","彰化","00886"
"240","湖北","咸宁","0715"
"241","澳门","澳门","00853"
"242","山西","朔州","0349"
"243","甘肃","张掖","0936"
"244","甘肃","定西","0932"
"245","吉林","磐石","0432"
"246","甘肃","平凉","0933"
"247","黑龙江","黑河","0456"
"248","云南","玉溪","0877"
"249","吉林","船营","0432"
"250","云南","普洱","0879"
"251","海南","琼海","0898"
"252","贵州","黔东南","0855"
"253","新疆","阿克苏","0997"
"254","黑龙江","佳木斯","0454"
"255","浙江","衢州","0570"
"256","海南","澄迈","0898"
"257","浙江","舟山","0580"
"258","海南","乐东","0898"
"259","台湾","台北","00886"
"260","江西","萍乡","0799"
"261","浙江","丽水","0578"
"262","吉林","蛟河","0432"
"263","吉林","桦甸","0432"
"264","贵州","黔南","0854"
"265","青海","西宁","0971"
"266","黑龙江","牡丹江","0453"
"267","广西","崇左","0771"
"268","内蒙古","呼伦贝尔","0470"
"269","甘肃","酒泉","0937"
"270","海南","临高","0898"
"271","甘肃","庆阳","0934"
"272","宁夏","固原","0954"
"273","辽宁","本溪","0414"
"274","安徽","黄山","0559"
"275","海南","东方","0898"
"276","黑龙江","鸡西","0467"
"277","新疆","和田","0903"
"278","内蒙古","兴安","0482"
"279","吉林","永吉","0432"
"280","云南","丽江","0888"
"281","山西","长治","0355"
"282","云南","德宏","0692"
"283","宁夏","中卫","0977"
"284","新疆","哈密","0902"
"285","新疆","巴音郭楞蒙古","0996"
"286","新疆","伊犁哈萨克","0992"
"287","宁夏","吴忠","0953"
"288","吉林","白山","0439"
"289","四川","攀枝花","0812"
"290","广西","防城港","0770"
"291","青海","海东","0972"
"292","四川","雅安","0835"
"293","吉林","辽源","0437"
"294","新疆","昌吉","0994"
"295","黑龙江","伊春","0458"
"296","内蒙古","鄂尔多斯","0477"
"297","内蒙古","乌兰察布","0474"
"298","台湾","台东","00886"
"299","新疆","阿勒泰","0906"
"300","山西","阳泉","0353"
"301","甘肃","临夏","0930"
"302","海南","陵水","0898"
"303","湖北","鄂州","0711"
"304","黑龙江","七台河","0464"
"305","吉林","丰满","0432"
"306","内蒙古","乌海","0473"
"307","安徽","铜陵","0562"
"308","宁夏","石嘴山","0952"
"309","海南","定安","0898"
"310","西藏","拉萨","0891"
"311","海南","屯昌","0898"
"312","陕西","铜川","0919"
"313","新疆","吐鲁番","0995"
"314","甘肃","金昌","0935"
"315","甘肃","嘉峪关","0937"
"316","新疆","博尔塔拉蒙古","0909"
"317","台湾","屏东","00886"
"318","海南","昌江","0898"
"319","黑龙江","鹤岗","0468"
"320","青海","海西","0977"
"321","云南","怒江","0886"
"322","内蒙古","锡林郭勒","0479"
"323","新疆","克拉玛依","0990"
"324","新疆","克孜勒苏柯尔克孜","0908"
"325","新疆","塔城","0901"
"326","海南","琼中","0898"
"327","云南","迪庆","0887"
"328","新疆","石河子","0993"
"329","海南","白沙","0898"
"330","黑龙江","大兴安岭","0457"
"331","新疆","阿拉尔","0997"
"332","海南","保亭","0898"
"333","青海","海北","0970"
"334","内蒙古","阿拉善","0483"
"335","青海","海南","0974"
"336","青海","玉树","0976"
"337","四川","阿坝","0837"
"338","海南","五指山","0898"
"339","台湾","花莲","00886"
"340","新疆","图木舒克","0998"
"341","青海","黄南","0973"
"342","台湾","基隆","00886"
"343","湖北","神农架林","0719"
"344","辽宁","大连","0411"
"345","辽宁","抚顺","0413"
"346","辽宁","丹东","0415"
"347","辽宁","锦州","0416"
"348","辽宁","营口","0417"
"349","辽宁","阜新","0418"
"350","辽宁","辽阳","0419"
"351","辽宁","盘锦","0427"
"352","辽宁","铁岭","0410"
"353","辽宁","朝阳","0421"
"354","辽宁","葫芦岛","0429"
"355","吉林","松原","0438"
"356","吉林","延边","0433"
"357","黑龙江","双鸭山","0469"
"358","安徽","淮南","0554"
"359","安徽","池州","0566"
"360","江西","九江","0792"
"361","江西","赣州","0797"
"362","山东","青岛","0532"
"363","山东","潍坊","0536"
"364","山东","聊城","0635"
"365","河南","济源","0391"
"366","湖北","黄冈","0713"
"367","湖北","恩施","0718"
"368","广东","韶关","0751"
"369","广东","珠海","0756"
"370","广东","湛江","0759"
"371","广东","汕尾","0660"
"372","广西","柳州","0772"
"373","四川","南充","0817"
"374","四川","眉山","028"
"375","四川","甘孜","0836"
"376","贵州","铜仁","0856"
"377","云南","楚雄","0878"
"378","西藏","昌都","0895"
"379","西藏","山南","0893"
"380","西藏","日喀则","0892"
"381","西藏","那曲","0896"
"382","西藏","阿里","0897"
"383","西藏","林芝","0894"
"384","陕西","延安","0911"
"385","甘肃","甘南","0941"
"386","青海","果洛","0975"
"387","新疆","五家渠","0994"
"388","台湾","苗栗","00886"
"389","台湾","云林","00886"
